,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.18265104293823242,0.017394086492021708,0.0066483815511067705,0.0004700778604684559,0.001,0,newton-cg,"{'C': 0.001, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,19
1,0.20259642601013184,0.001148622442719196,0.005983908971150716,0.001629371028638422,0.001,0,lbfgs,"{'C': 0.001, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,19
2,0.05219427744547526,0.0032908823016980695,0.004985888799031575,0.0008133229087347214,0.001,0,liblinear,"{'C': 0.001, 'random_state': 0, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,19
3,0.12573838233947754,0.010577436703340598,0.005983829498291016,0.001410233554533498,0.01,0,newton-cg,"{'C': 0.01, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,19
4,0.33767247200012207,0.013601565515353178,0.006648461023966472,0.0004704722278290974,0.01,0,lbfgs,"{'C': 0.01, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,19
5,0.04620957374572754,0.010843447267947627,0.005320390065511067,0.00047215745609061207,0.01,0,liblinear,"{'C': 0.01, 'random_state': 0, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,19
6,0.2232844034830729,0.004912985882924708,0.007647355397542317,0.0009383054851716426,0.1,0,newton-cg,"{'C': 0.1, 'random_state': 0, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,19
7,0.9949510097503662,0.11362103389930422,0.010841687520345053,0.003520272156340185,0.1,0,lbfgs,"{'C': 0.1, 'random_state': 0, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,19
8,0.1244649887084961,0.007823695776339927,0.006982644399007161,0.0008141988154170403,0.1,0,liblinear,"{'C': 0.1, 'random_state': 0, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,19
9,0.6669371128082275,0.10763016114363919,0.008678754170735678,0.0009545077086597306,1,0,newton-cg,"{'C': 1, 'random_state': 0, 'solver': 'newton-cg'}",0.025145067698259187,0.04584527220630373,0.03650336215177714,0.03583019015383622,0.008464794234936658,16
10,3.9343221187591553,0.7884326821473961,0.009148677190144857,0.0006171147744516879,1,0,lbfgs,"{'C': 1, 'random_state': 0, 'solver': 'lbfgs'}",0.025145067698259187,0.04584527220630373,0.03650336215177714,0.03583019015383622,0.008464794234936658,16
11,0.4514181613922119,0.034371268641241445,0.009007851282755533,0.0008316900418893182,1,0,liblinear,"{'C': 1, 'random_state': 0, 'solver': 'liblinear'}",0.025145067698259187,0.04584527220630373,0.03650336215177714,0.03583019015383622,0.008464794234936658,16
12,1.3930717309315999,0.13548067791951002,0.007666190465291341,0.00048527274788267145,5,0,newton-cg,"{'C': 5, 'random_state': 0, 'solver': 'newton-cg'}",0.22333333333333333,0.23510466988727857,0.24860557768924302,0.23567887103351604,0.010325336210050369,13
13,7.544874270757039,0.5937569682579732,0.007329861323038737,0.0009547458496639357,5,0,lbfgs,"{'C': 5, 'random_state': 0, 'solver': 'lbfgs'}",0.22333333333333333,0.23510466988727857,0.24860557768924302,0.23567887103351604,0.010325336210050369,13
14,0.6103460788726807,0.011195274260730881,0.008310079574584961,0.0004708668550839663,5,0,liblinear,"{'C': 5, 'random_state': 0, 'solver': 'liblinear'}",0.22333333333333333,0.23510466988727857,0.24860557768924302,0.23567887103351604,0.010325336210050369,13
15,1.9219914277394612,0.11955170330762935,0.00934163729349772,0.0012591808349013832,10,0,newton-cg,"{'C': 10, 'random_state': 0, 'solver': 'newton-cg'}",0.26953748006379585,0.2815608263198164,0.30827067669172936,0.2864527679825049,0.01618669045166343,12
16,7.26994776725769,0.5147449771857229,0.008655786514282227,0.0009601056087145745,10,0,lbfgs,"{'C': 10, 'random_state': 0, 'solver': 'lbfgs'}",0.26953748006379585,0.2815608263198164,0.30954169797145004,0.28687632493133935,0.016758584393374687,10
17,0.7471975485483805,0.13128045552502454,0.017694950103759766,0.012959803408766127,10,0,liblinear,"{'C': 10, 'random_state': 0, 'solver': 'liblinear'}",0.26953748006379585,0.2815608263198164,0.30954169797145004,0.28687632493133935,0.016758584393374687,10
18,1.8902654647827148,0.378145470497002,0.00865785280863444,0.0018946037494242238,15,0,newton-cg,"{'C': 15, 'random_state': 0, 'solver': 'newton-cg'}",0.2879377431906615,0.29216867469879515,0.3296703296703297,0.303255080490108,0.018754260946968197,8
19,8.04258680343628,0.3349351861394383,0.007656494776407878,0.001260953232695726,15,0,lbfgs,"{'C': 15, 'random_state': 0, 'solver': 'lbfgs'}",0.2879377431906615,0.2934537246049661,0.3296703296703297,0.3036834304588316,0.018509228722733275,7
20,0.8116991519927979,0.14620622282977186,0.011001269022623697,0.0029659601161501044,15,0,liblinear,"{'C': 15, 'random_state': 0, 'solver': 'liblinear'}",0.2879377431906615,0.29216867469879515,0.3296703296703297,0.303255080490108,0.018754260946968197,8
21,2.0876027743021646,0.12348888756372549,0.007646083831787109,0.0012446440459978345,20,0,newton-cg,"{'C': 20, 'random_state': 0, 'solver': 'newton-cg'}",0.3010752688172043,0.2987303958177745,0.3383947939262473,0.31273005639890245,0.018169197091294526,4
22,5.827138741811116,0.2914654909895115,0.0053450266520182295,0.0012512556739251667,20,0,lbfgs,"{'C': 20, 'random_state': 0, 'solver': 'lbfgs'}",0.3010752688172043,0.2987303958177745,0.3383947939262473,0.31273005639890245,0.018169197091294526,4
23,0.8441854317982992,0.1768283586062792,0.011996189753214518,0.0042392393229604,20,0,liblinear,"{'C': 20, 'random_state': 0, 'solver': 'liblinear'}",0.3010752688172043,0.2987303958177745,0.3383947939262473,0.31273005639890245,0.018169197091294526,4
24,2.292792320251465,0.32879648308016607,0.009345451990763346,0.0026305750488554943,25,0,newton-cg,"{'C': 25, 'random_state': 0, 'solver': 'newton-cg'}",0.3086325439266616,0.30495928941524797,0.3403028118240808,0.31796197111930424,0.015865134661372127,1
25,4.542922814687093,0.1978125446360377,0.002989053726196289,4.161525555161173e-06,25,0,lbfgs,"{'C': 25, 'random_state': 0, 'solver': 'lbfgs'}",0.3086325439266616,0.30495928941524797,0.3403028118240808,0.31796197111930424,0.015865134661372127,1
26,0.7869710127512614,0.13777714145238437,0.00934163729349772,0.003306609256644354,25,0,liblinear,"{'C': 25, 'random_state': 0, 'solver': 'liblinear'}",0.3086325439266616,0.30392883617494443,0.3403028118240808,0.3176184867058698,0.01615149831762995,3
